Minute,Forecast_SM
606,0.4342826
607,0.43428165
608,0.4342798
609,0.43428242
610,0.4342851
611,0.43428332
612,0.43428275
613,0.4342842
614,0.4342875
615,0.4342862
616,0.43428424
617,0.4342853
618,0.43428713
619,0.43428615
620,0.434285
621,0.43428484
622,0.43428332
623,0.4342853
624,0.43428722
625,0.4342866
626,0.43428564
627,0.4342881
628,0.43429178
629,0.43429106
630,0.4342873
631,0.4342891
632,0.43429065
633,0.4342896
634,0.434288
635,0.43428925
636,0.43429008
637,0.43428966
638,0.4342933
639,0.43429294
640,0.43429235
641,0.43429455
642,0.434296
643,0.43429482
644,0.43429327
645,0.4342932
646,0.43429506
647,0.43429524
648,0.43429357
649,0.4342949
650,0.4342968
651,0.43429667
652,0.43429774
653,0.43429872
654,0.43429875
655,0.43429744
656,0.43429855
657,0.43429843
658,0.43429685
659,0.4342967
660,0.4342966
661,0.43429697
662,0.4342956
663,0.434295
664,0.43429583
665,0.43429685
666,0.43429706
667,0.43429637
668,0.4342964
669,0.434296
670,0.43429545
671,0.43429506
672,0.43429562
673,0.434295
674,0.4342945
675,0.4342941
676,0.43429473
677,0.43429545
678,0.4342951
679,0.43429503
680,0.43429476
681,0.4342951
682,0.43429464
683,0.43429503
684,0.43429455
685,0.43429396
686,0.43429437
687,0.43429407
688,0.4342933
689,0.43429452
690,0.43429485
691,0.43429425
692,0.43429404
693,0.43429503
694,0.434295
695,0.43429515
696,0.43429482
697,0.43429488
698,0.43429515
699,0.43429562
700,0.4342949
701,0.4342945
702,0.43429485
703,0.43429437
704,0.43429476
705,0.43429545
706,0.43429548
707,0.43429527
708,0.43429482
709,0.43429515
710,0.43429598
711,0.4342958
712,0.43429467
713,0.43429512
714,0.4342953
715,0.43429515
716,0.4342951
717,0.43429568
718,0.43429545
719,0.43429565
720,0.43429607
721,0.43429592
722,0.4342962
723,0.43429548
724,0.43429488
725,0.43429527
726,0.43429545
727,0.43429503
728,0.43429512
729,0.43429554
730,0.43429592
731,0.4342959
732,0.43429643
733,0.4342962
734,0.43429565
735,0.43429607
736,0.43429622
737,0.4342955
738,0.4342954
739,0.4342952
740,0.43429565
741,0.4342955
742,0.43429527
743,0.4342959
744,0.43429625
745,0.43429622
746,0.43429568
747,0.4342961
748,0.43429604
749,0.43429533
750,0.43429577
751,0.4342955
752,0.43429476
753,0.434295
754,0.43429524
755,0.4342949
756,0.43429515
757,0.43429485
758,0.43429545
759,0.43429542
760,0.4342953
761,0.4342951
762,0.43429527
763,0.4342951
764,0.43429482
765,0.43429583
766,0.4342955
767,0.43429515
768,0.43429554
769,0.43429583
770,0.43429562
771,0.43429548
772,0.4342953
773,0.4342953
774,0.43429512
775,0.4342951
776,0.434295
777,0.4342951
778,0.4342953
779,0.4342953
780,0.43429568
781,0.43429583
782,0.43429545
783,0.43429598
784,0.43429568
785,0.43429524
786,0.43429554
787,0.4342957
788,0.43429545
789,0.43429503
790,0.43429548
791,0.43429577
792,0.43429545
793,0.4342955
794,0.43429568
795,0.43429568
796,0.4342954
797,0.43429562
798,0.4342962
799,0.4342962
800,0.4342953
801,0.43429583
802,0.43429637
803,0.4342964
804,0.434296
805,0.43429628
806,0.4342964
807,0.43429616
808,0.43429637
809,0.4342964
810,0.4342966
811,0.43429625
812,0.43429616
813,0.43429655
814,0.4342967
815,0.43429625
816,0.4342961
817,0.4342967
