Minute,Forecast_SM,Cluster_Used
657,0.4341764721206854,3
658,0.4341764734424999,3
659,0.4341764730018951,3
660,0.43417647168008056,3
661,0.4341764681552419,3
662,0.43417646418979844,3
663,0.4341764606649597,3
664,0.43417645802133076,3
665,0.43417645669951627,3
666,0.43417645714012104,3
667,0.43417645846193553,3
668,0.4341764602243549,3
669,0.43417646242737906,3
670,0.43417646418979844,3
671,0.43417646551161293,3
672,0.43417646551161293,3
673,0.4341764646304032,3
674,0.43417646242737906,3
675,0.4341764602243549,3
676,0.4341764575807259,3
677,0.43417645581830655,3
678,0.43417645449649206,3
679,0.43417645405588723,3
680,0.43417645449649206,3
681,0.4341764562589114,3
682,0.43417645846193553,3
683,0.43417646110556457,3
684,0.43417646374919355,3
685,0.43417646507100804,3
686,0.4341764646304032,3
687,0.43417646374919355,3
688,0.4341764615461694,3
689,0.4341764597837501,3
690,0.43417645846193553,3
691,0.4341764575807259,3
692,0.43417645669951627,3
693,0.43417645669951627,3
694,0.43417645714012104,3
695,0.43417645802133076,3
696,0.4341764597837501,3
697,0.4341764615461694,3
698,0.4341764633085887,3
699,0.43417646374919355,3
700,0.4341764633085887,3
701,0.4341764619867743,3
702,0.4341764606649597,3
703,0.43417645934314525,3
704,0.43417645846193553,3
705,0.43417645846193553,3
706,0.43417645934314525,3
707,0.4341764602243549,3
708,0.4341764615461694,3
709,0.4341764628679839,3
710,0.4341764633085887,3
711,0.43417646374919355,3
712,0.43417646374919355,3
713,0.4341764633085887,3
714,0.4341764628679839,3
715,0.4341764628679839,3
716,0.4341764619867743,3
717,0.4341764615461694,3
718,0.43417646110556457,3
719,0.43417646110556457,3
720,0.43417646110556457,3
721,0.4341764619867743,3
722,0.4341764628679839,3
723,0.43417646374919355,3
724,0.43417646374919355,3
725,0.43417646374919355,3
726,0.4341764633085887,3
727,0.4341764628679839,3
728,0.43417646242737906,3
729,0.43417646242737906,3
730,0.43417646242737906,3
731,0.43417646242737906,3
732,0.43417646242737906,3
733,0.43417646242737906,3
734,0.43417646242737906,3
735,0.43417646242737906,3
736,0.43417646242737906,3
737,0.43417646242737906,3
738,0.43417646242737906,3
739,0.43417646242737906,3
740,0.43417646242737906,3
741,0.43417646242737906,3
742,0.43417646242737906,3
743,0.43417646242737906,3
744,0.43417646242737906,3
745,0.43417646242737906,3
746,0.43417646242737906,3
747,0.43417646242737906,3
748,0.43417646242737906,3
749,0.43417646242737906,3
750,0.43417646242737906,3
751,0.43417646242737906,3
752,0.43417646242737906,3
753,0.43417646242737906,3
754,0.4341764619867743,3
755,0.4341764619867743,3
756,0.4341764619867743,3
757,0.4341764619867743,3
758,0.4341764619867743,3
759,0.4341764628679839,3
760,0.4341764628679839,3
761,0.4341764628679839,3
762,0.4341764628679839,3
763,0.4341764628679839,3
764,0.43417646242737906,3
765,0.43417646242737906,3
766,0.43417646242737906,3
767,0.43417646242737906,3
768,0.43417646242737906,3
769,0.43417646242737906,3
770,0.43417646242737906,3
771,0.43417646242737906,3
772,0.43417646242737906,3
773,0.43417646242737906,3
774,0.43417646242737906,3
775,0.43417646242737906,3
776,0.43417646242737906,3
777,0.43417646242737906,3
778,0.43417646242737906,3
779,0.43417646242737906,3
780,0.43417646242737906,3
781,0.4341764628679839,3
782,0.4341764628679839,3
783,0.4341764628679839,3
784,0.43417646242737906,3
785,0.4341764619867743,3
786,0.43417646110556457,3
787,0.43417646110556457,3
788,0.43417646110556457,3
789,0.4341764615461694,3
790,0.4341764619867743,3
791,0.4341764619867743,3
792,0.4341764615461694,3
793,0.43417646110556457,3
794,0.43417646110556457,3
795,0.43417646110556457,3
796,0.4341764615461694,3
797,0.4341764619867743,3
798,0.43417646242737906,3
799,0.43417646242737906,3
800,0.43417646242737906,3
801,0.43417646242737906,3
802,0.43417646242737906,3
803,0.43417646242737906,3
804,0.43417646242737906,3
805,0.43417646242737906,3
806,0.43417646242737906,3
807,0.43417646242737906,3
808,0.43417646242737906,3
809,0.43417646242737906,3
810,0.43417646242737906,3
811,0.4341764628679839,3
812,0.4341764633085887,3
813,0.4341764633085887,3
814,0.4341764633085887,3
815,0.4341764633085887,3
816,0.4341764628679839,3
817,0.43417646242737906,3
818,0.43417646242737906,3
819,0.43417646242737906,3
820,0.43417646242737906,3
821,0.43417646242737906,3
822,0.43417646242737906,3
823,0.43417646242737906,3
